                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.8126,                 1.9037,                 2.0804,                0.58324,                0.14441,                0.24729,                0.08974,                 2.4137,                 2.6396,                 2.7378,              0.0008832,              0.0008832,              0.0008832
                     75,                 1.8198,                 1.8554,                 2.0595,                0.40851,                0.10622,                0.16814,                0.06195,                 2.4321,                 2.7623,                 2.7062,              0.0008816,              0.0008816,              0.0008816
                     76,                 1.8467,                 1.8909,                 2.0943,                0.47875,                0.16655,                0.19659,                 0.0695,                 2.3889,                 2.5865,                 2.7276,                0.00088,                0.00088,                0.00088
                     77,                 1.8508,                  1.827,                 2.0775,                0.38187,                0.09175,                0.15994,                0.05838,                 2.4812,                 2.8917,                 2.7606,              0.0008784,              0.0008784,              0.0008784
                     78,                 1.8957,                 1.9198,                 2.1328,                0.53241,                0.10134,                0.18178,                0.06274,                 2.5751,                  2.768,                 2.9434,              0.0008768,              0.0008768,              0.0008768
                     79,                 1.8741,                 1.8729,                 2.1088,                  0.384,                0.13208,                0.16269,                0.06076,                 2.4006,                 2.7906,                  2.688,              0.0008752,              0.0008752,              0.0008752
                     80,                 1.8384,                 1.8796,                  2.085,                0.54505,                0.10344,                0.22356,                0.08291,                 2.5028,                 2.7845,                 2.7698,              0.0008736,              0.0008736,              0.0008736
                     81,                 1.8007,                 1.8087,                 2.0423,                0.46445,                0.11771,                0.21368,                0.08594,                 2.3738,                 2.7592,                 2.6561,               0.000872,               0.000872,               0.000872
                     82,                 1.7855,                 1.7525,                 2.0527,                0.57591,                0.11553,                0.24859,                0.08262,                 2.6362,                 2.8276,                 2.9025,              0.0008704,              0.0008704,              0.0008704
                     83,                 1.7869,                  1.778,                 2.0356,                0.58841,                0.09774,                0.19234,                0.07429,                 2.5156,                 2.8748,                 2.8027,              0.0008688,              0.0008688,              0.0008688
                     84,                  1.807,                 1.8193,                 2.0516,                0.52301,                0.10891,                0.14332,                0.05472,                 2.7329,                 2.8969,                 3.0339,              0.0008672,              0.0008672,              0.0008672
                     85,                 1.8069,                 1.7803,                  2.043,                0.45443,                0.12162,                0.21984,                0.08613,                 2.3535,                 2.7742,                  2.604,              0.0008656,              0.0008656,              0.0008656
                     86,                 1.7775,                 1.7575,                  2.019,                0.53984,                0.15135,                0.22436,                0.07872,                  2.601,                 2.7666,                 2.9389,               0.000864,               0.000864,               0.000864
                     87,                 1.7238,                 1.6865,                 1.9943,                0.46635,                0.08832,                0.22851,                0.08483,                 2.3669,                 2.8481,                  2.654,              0.0008624,              0.0008624,              0.0008624
                     88,                 1.7131,                 1.6556,                 1.9744,                0.62084,                0.10123,                  0.223,                0.08263,                 2.5499,                 2.9362,                 2.9213,              0.0008608,              0.0008608,              0.0008608
                     89,                 1.7779,                 1.6755,                 2.0178,                0.43176,                0.10375,                0.19829,                0.07445,                 2.3764,                 2.8842,                 2.6371,              0.0008592,              0.0008592,              0.0008592
                     90,                  1.744,                 1.6562,                  1.996,                0.63001,                0.09644,                0.22329,                0.08294,                 2.4814,                 2.9456,                 2.7969,              0.0008576,              0.0008576,              0.0008576
                     91,                 1.7582,                  1.677,                 2.0019,                0.49151,                0.12588,                0.21627,                0.08267,                 2.3723,                 2.8744,                 2.6425,               0.000856,               0.000856,               0.000856
                     92,                 1.7138,                 1.6258,                 1.9849,                0.47036,                0.09721,                0.21768,                0.08068,                 2.5413,                 2.9798,                 2.8423,              0.0008544,              0.0008544,              0.0008544
